Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,PerimeterAreaRatio,Factor1,Factor2,Factor3,Class
45003,769.437,270.822761,211.8641012,1.278285276,0.622904372,45353,239.373347,0.757626263,0.99228276,0.955223937,0.883874553,0.006017882,0.002265614,0.781234226,0.998640208,0.01709746,0.0971,1.26333,0.75301,SEKER
40510,759.176,283.7997614,182.0486253,1.558922848,0.767149322,41001,227.1099601,0.790516148,0.988024682,0.88325716,0.800247184,0.007005672,0.001772255,0.640395556,0.998327265,0.018740459,-0.36833,-0.06719,0.523,SIRA
80434,1189.016,418.6575903,245.5096372,1.705259293,0.810006367,82457,320.0183581,0.715477673,0.975466,0.714947469,0.764391631,0.005204983,0.001096132,0.584294565,0.996373737,0.014782505,0.91734,-0.45735,-1.57439,BARBUNYA
30155,645.525,241.4759633,159.4125479,1.514786423,0.751125821,30503,195.9452436,0.698614586,0.988591286,0.909375112,0.811448232,0.008007825,0.002141596,0.658448234,0.997408445,0.021406898,-1.02856,-0.0376,0.24436,DERMASON
44660,782.631,288.6180501,197.4738282,1.461550893,0.729290011,45058,238.4593845,0.788349515,0.99116694,0.91625106,0.826210919,0.006462563,0.001857583,0.682624483,0.997690424,0.017524205,-0.05797,0.33876,0.83654,SIRA
41609,753.219,283.886934,187.1609879,1.516806131,0.75189749,41978,230.1699898,0.737356016,0.991209681,0.921625769,0.810780498,0.006822729,0.001818658,0.657365017,0.997095288,0.01810231,-0.31449,0.02239,0.77562,DERMASON
42697,759.155,271.54297,200.4329831,1.354781862,0.674662656,43083,233.1598354,0.736663216,0.99104055,0.930992778,0.858648027,0.006359767,0.002132464,0.737276434,0.99884874,0.017780055,-0.12381,0.79042,0.65545,SEKER
41541,761.157,284.9234628,186.1767122,1.530392601,0.756989448,41998,229.9818339,0.710539819,0.989118529,0.901028067,0.80717057,0.006858849,0.001795942,0.651524329,0.997088013,0.01832303,-0.38894,-0.0505,0.39823,DERMASON
34291,687.182,257.9686332,169.9776055,1.517662473,0.752223504,34674,208.9513274,0.693925045,0.98895426,0.912528557,0.809987342,0.007522925,0.001997466,0.656079493,0.995707227,0.020039719,-0.79624,-0.02225,0.15083,DERMASON
37388,707.703,232.9705016,204.6242163,1.138528498,0.478060848,37784,218.1831343,0.806993309,0.989519373,0.93808032,0.936526869,0.006231157,0.002956851,0.877082576,0.998583507,0.018928613,-0.11355,2.3378,-0.06626,SEKER
53370,892.301,344.2801299,200.1156997,1.720405398,0.813719075,54303,260.6775681,0.808636364,0.982818629,0.842333954,0.757167043,0.006450817,0.00130786,0.573301932,0.986311738,0.016719149,0.00079,-0.37927,-1.23829,HOROZ
43880,783.709,294.5425899,190.6068128,1.545288889,0.762381208,44402,236.3678303,0.719816273,0.988243773,0.897773567,0.802491179,0.006712456,0.001717206,0.643992093,0.995153826,0.017860278,-0.29735,-0.05077,0.1201,SIRA
58094,922.37,350.1062379,212.8556695,1.644805792,0.793956543,58691,271.969811,0.784672322,0.989828083,0.85808598,0.776820809,0.006026547,0.001353729,0.60345057,0.992558992,0.015877199,0.34599,-0.34891,0.32164,CALI
43788,786.336,298.0839396,187.7906957,1.587320067,0.776601082,44222,236.1199127,0.79265776,0.99018588,0.889915263,0.792125577,0.006807434,0.001653253,0.62746293,0.9959845,0.017957797,-0.21072,-0.18293,0.66293,SIRA
29030,626.492,229.2453412,161.6185812,1.418434314,0.709204635,29318,192.2554134,0.749257969,0.990176683,0.929449591,0.8386448,0.007896843,0.002409603,0.703325101,0.997620457,0.021580847,-0.93791,0.46038,0.44566,DERMASON
44806,785.824,291.877525,195.8439983,1.490357261,0.741475396,45256,238.8488456,0.803306022,0.990056567,0.911791337,0.81831873,0.006514251,0.001801915,0.669645544,0.998011099,0.017538365,-0.06661,0.25185,0.78815,SIRA
49987,828.77,299.1049357,214.4676282,1.39463908,0.697040877,50520,252.2804493,0.7972154,0.989449723,0.914531972,0.843451308,0.005983654,0.001868041,0.71141011,0.992160341,0.016579711,0.19307,0.78336,-0.07774,SIRA
38426,718.102,248.3744091,197.2543624,1.259158003,0.607680619,38830,221.1911001,0.775781313,0.989595673,0.936402943,0.890555113,0.006463707,0.002507868,0.79308841,0.998623619,0.01868792,-0.22391,1.4277,0.25798,SEKER
40587,799.002,325.5266303,160.211505,2.031855517,0.870504205,41240,227.3256989,0.623916252,0.984165858,0.798915933,0.698332111,0.008020465,0.001176596,0.487667737,0.990870383,0.019686156,-0.9636,-1.79832,-0.73252,HOROZ
31768,650.954,220.9594949,183.2920681,1.205504947,0.558465259,32173,201.1175623,0.777674419,0.987411805,0.94210463,0.910201041,0.006955411,0.002944773,0.828465935,0.998719784,0.020490871,-0.56722,1.83259,-0.22287,SEKER
40000,742.236,280.963795,181.5970177,1.54718287,0.763052924,40340,225.6758334,0.71404345,0.991571641,0.912401154,0.803220335,0.007024095,0.00180347,0.645162906,0.998184996,0.0185559,-0.43553,-0.17916,0.91236,DERMASON
33762,676.323,255.2176269,168.7328682,1.512554309,0.750268471,34083,207.3333391,0.715054219,0.990581815,0.927533738,0.812378603,0.007559316,0.002030936,0.659958994,0.99822382,0.020032077,-0.75789,-0.01671,0.71731,DERMASON
42070,763.489,289.0223734,186.1234339,1.552853218,0.765045803,42556,231.4415426,0.768823099,0.988579754,0.906936347,0.800773794,0.006870035,0.001742521,0.64123867,0.995749532,0.018148063,-0.32162,-0.02025,0.35101,DERMASON
54186,935.38,378.0676879,183.3518368,2.061979276,0.874530274,54886,262.6628218,0.813457035,0.987246292,0.778252989,0.694750782,0.006977221,0.001002717,0.482678649,0.995273372,0.017262392,-0.0337,-1.67908,0.59014,HOROZ
42853,776.166,279.2656766,197.1586268,1.416451723,0.708222331,43392,233.5853895,0.726716185,0.987578355,0.893885445,0.836427134,0.006516829,0.001967563,0.699610351,0.990964287,0.018112291,-0.27623,0.5766,-0.66729,SIRA
39198,717.099,238.3108727,210.1234219,1.134147115,0.471773403,39556,223.4019778,0.797680098,0.99094954,0.957889778,0.9374393,0.006079669,0.002896225,0.878792442,0.996679913,0.018294275,-0.01724,2.37328,-0.03215,SEKER
29930,640.443,235.2698504,162.3481434,1.449168716,0.723760957,30245,195.2128571,0.780321201,0.989585055,0.916971029,0.829740219,0.00786067,0.002298306,0.68846883,0.99770749,0.021398029,-0.87483,0.35813,0.46609,DERMASON
68843,1102.682,371.9794475,236.3442579,1.573888237,0.772208566,70506,296.0635573,0.775259009,0.976413355,0.71149046,0.795913751,0.005403301,0.001337528,0.633478699,0.997024673,0.016017344,0.67596,0.02817,-1.53834,BARBUNYA
31958,681.223,261.3888144,156.1522341,1.673935797,0.801947529,32425,201.7180938,0.743071057,0.985597533,0.865387965,0.771716625,0.008179136,0.001789446,0.59554655,0.996906689,0.021316196,-1.02039,-0.57466,0.01148,DERMASON
48788,864.715,356.678164,175.2074713,2.035747456,0.871035502,49393,249.2364558,0.76372061,0.987751301,0.819930221,0.698771276,0.007310777,0.001075186,0.488281296,0.994017407,0.017723928,-0.32598,-1.64957,0.48833,HOROZ
43870,794.358,317.344816,177.0016388,1.792891965,0.830003561,44222,236.3408954,0.823324075,0.992040161,0.873665027,0.744744781,0.007233755,0.001372693,0.554644788,0.994418184,0.018107089,-0.28891,-0.91822,1.06466,SIRA
36644,711.555,267.3048539,175.1489704,1.526157152,0.755420324,37036,216.0013655,0.701992337,0.989415704,0.90948552,0.808071243,0.007294642,0.001918591,0.652979133,0.996548775,0.019418049,-0.65044,-0.05897,0.34521,DERMASON
