Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,PerimeterAreaRatio,Factor1,Factor2,Factor3,Class
42876,776.816,294.5524699,185.801991,1.585303087,0.775950173,43305,233.6480659,0.760779304,0.990093523,0.892869118,0.793230714,0.006869868,0.001677746,0.629214965,0.997496427,0.018117735,-0.28468,-0.23408,0.75118,SIRA
28555,634.899,231.4131496,157.6592056,1.467806138,0.732014659,28992,190.6760478,0.793194444,0.984926876,0.890190064,0.823963755,0.00810412,0.002304189,0.67891627,0.996517468,0.02223425,-1.03147,0.37411,-0.33419,DERMASON
38457,710.385,240.6964573,203.7703174,1.181214518,0.532251517,38801,221.2803045,0.778986388,0.991134249,0.957629908,0.91933345,0.006258846,0.002757822,0.845173993,0.998331791,0.01847219,-0.11974,1.95523,0.28442,SEKER
42024,734.883,250.7946761,213.5640184,1.174330198,0.524274617,42312,231.3149771,0.788738739,0.99319342,0.97784687,0.9223281,0.005967892,0.00266405,0.850689124,0.998989928,0.017487222,0.11294,1.99951,0.72593,SEKER
45631,840.956,321.9235414,182.7258929,1.761783929,0.823299986,46505,241.0377432,0.648775841,0.981206322,0.810817854,0.748742208,0.007054931,0.001367734,0.560614894,0.987682311,0.018429489,-0.58489,-0.8062,-1.70402,HOROZ
70664,1028.213,391.8333258,229.8707572,1.704581002,0.809837377,71445,299.9536617,0.701560701,0.989068514,0.839927693,0.765513401,0.00554502,0.001174611,0.586010767,0.99890282,0.014550733,0.72077,-0.70182,0.85481,BARBUNYA
168744,1573.509,602.3624915,357.8278181,1.683386425,0.804435008,170252,463.5208018,0.73513344,0.991142542,0.856445518,0.769504756,0.003569682,0.000772066,0.592137569,0.996796345,0.009324829,3.66117,-0.29604,1.51249,BOMBAY
70178,1013.164,390.0472886,231.8971273,1.681984133,0.804069045,71324,298.9203987,0.726142066,0.983932477,0.859115098,0.766369636,0.005557971,0.001182631,0.58732242,0.987866991,0.01443706,0.6119,-0.31629,-0.97594,CALI
36609,748.431,305.3024338,153.2388004,1.992331139,0.864911383,36969,215.8981855,0.636235662,0.990262111,0.821285574,0.707161692,0.008339546,0.001286462,0.500077658,0.99632029,0.020443907,-1.02565,-1.88091,0.71334,HOROZ
43378,787.214,304.1804748,182.437741,1.667311123,0.800173883,43943,235.0118826,0.774800843,0.987142435,0.879617316,0.772606732,0.007012321,0.001541259,0.596921163,0.995253294,0.018147771,-0.35098,-0.43999,0.22271,SIRA
67429,1124.602,393.2619082,219.2954315,1.793297314,0.830088268,68968,293.0072853,0.714668786,0.977685303,0.669975436,0.745069073,0.005832237,0.001108667,0.555127923,0.995509414,0.016678313,0.42257,-0.90943,-1.45138,BARBUNYA
33796,689.612,257.0214392,167.8566113,1.531196401,0.757285401,34210,207.4377103,0.69658058,0.987898275,0.893028965,0.807083296,0.007605085,0.001990477,0.651383447,0.99739599,0.020405137,-0.83501,-0.09659,0.15499,DERMASON
26724,705.478,232.983971,148.202168,1.572068574,0.771602864,27718,184.4615233,0.746981216,0.964138827,0.674752305,0.791734824,0.008718155,0.002113116,0.626844032,0.985441803,0.026398668,-1.64006,0.16794,-4.94189,DERMASON
30155,643.128,244.8164611,157.4149549,1.555230005,0.765873137,30529,195.9452436,0.694335713,0.987749353,0.916166402,0.800376097,0.008118603,0.002055121,0.640601896,0.99628329,0.021327408,-1.08163,-0.17218,0.09046,DERMASON
36692,723.028,267.3639497,175.2394952,1.525706002,0.755252221,37123,216.1427893,0.754125989,0.988389947,0.882004938,0.80842159,0.00728671,0.00191983,0.653545467,0.997118242,0.019705331,-0.59334,-0.00102,0.28353,SIRA
